Police_Station,latitude,longitude,zipcode,number,address,testingnum,testingnum2
Shyampukur PS,22.60059448,88.36840766,700004,6292258201,"47, Shyampukur Street, Kolkata-700004",7439872575,9062184542
Burtolla PS,22.59349397,88.37048728,700006,6292258203,"1, Raja Raj Krishna Street, Kolkata-700006",7439872575,9062184542
Girish Park PS,22.58902837,88.36694566,700006,6292258004,"138, Ramdulal Sarkar Street, Kolkata-700 006",7439872575,9062184542
Jorabagan PS,22.5938657,88.35575224,700006,6292258202,"78, Nimtala Ghat Street, Kolkata-700006",7439872575,9062184542
Jorasanko PS,22.58178652,88.35988211,700007,6292258003,"16, Bal Mukund Malkar Road, Kolkata-700007",7439872575,9062184542
Burrabazar PS,22.58093202,88.35418353,700007,6292258001,"8, Mullick Street, Kolkata-700007",7439872575,9062184542
Posta PS,22.58789288,88.35071386,700007,6292258002,"67/50, Strand Road, Kolkata-700007",7439872575,9062184542
Amherst Street PS,22.58804234,88.37071612,700009,6292258204,"57, Raja Ram Mohan Sarani, Kolkata-700009",7439872575,9062184542
Muchipara Police Station,22.56730706,88.36542245,700012,6292258007,"Serpentine Ln, 6, Santosh Mitrosh Square, Lebutala, Bowbazar, Kolkata, West Bengal 700012",7439872575,9062184542
Bowbazar PS,22.56974298,88.35694511,700012,6292258006,"13, Kapiltolla Lane, Kolkata-700012",7439872575,9062184542
Hare Street PS,22.56943897,88.35687237,700069,6292258005,"42, C.R Avenue, Kolkata-700069",7439872575,9062184542
Golabari PS,22.59391061,88.34435063,711101,26663515,"Dr Abani Dutta Rd, Babudanga, Golabari, Mali Panchghara, Howrah, West Bengal 711101",7439872575,9062184542
Howrah PS,22.58064442,88.33501351,711101,26411750,"15, Nityadhan Mukherjee Rd, Howrah Railway Station, Howrah, West Bengal 711101",7439872575,9062184542
Bantra PS,22.59272604,88.32054251,711101,26431009,"156, Narasingha Dutta Rd, Kadamtala, Kadam Tala, Howrah, West Bengal 711101",7439872575,9062184542
Shibpur PS,22.5715095,88.32658961,711102,26381028,"161, Grand Trunk Rd, Naora, Shibpur, Howrah, West Bengal 711102",7439872575,9062184542
Chatterjeehat PS,22.57350184,88.30687999,711104,26672031,"749 Sarat Chatterjee Road, Chatterjihat, Shibpur, Howrah, West Bengal 711104",7439872575,9062184542
Dasnagar PS,22.59980046,88.30734004,711105,26531260,"Makardah Road, Dasnagar, Howrah, West Bengal 711105",7439872575,9062184542
M.P. Ghora PS,22.61298457,88.34023215,711106,26555952,"126/13, Dharmatala Road, Salkia, Howrah, West Bengal 711106",7439872575,9062184542
Liluah PS ,22.61421974,88.33599436,711106,26458047,"28/1, Jhil Rd, Liluah, Howrah, West Bengal 711106",7439872575,9062184542
A.J.C. Bose B. Garden PS,22.56639305,88.29884716,711109,26886638 ,"Carry Rd, Shibpur, Howrah, West Bengal 711109",7439872575,9062184542
Santragachi PS,22.58427165,88.28515657,711109,26586560,"A15, Santragachi, Howrah, West Bengal 711109",7439872575,9062184542
Jagacha PS,22.58855385,88.28376711,711111,26579223,"47, Mahiary Jagachha Rd, Santragachi, Howrah, West Bengal 711111",7439872575,9062184542
Bally PS,22.64706418,88.34969911,711201,26541128,"5, Santiram Rasta, Bally, Howrah, West Bengal 711201",7439872575,9062184542
Belur PS,22.62324867,88.34534246,711202,26540380,"No 9, Gardiner Rd, Liluah, Howrah, West Bengal 711202",7439872575,9062184542
Nischinda PS,22.65622891,88.32567625,711205,26540382,"NH 2 , Nischinda, SH 2, Near Toll plaza, Bally, Howrah, West Bengal 711205",7439872575,9062184542
Sankrail PS,22.55820764,88.23254396,711313,26790200,"NH 6, Dhulagarh, PO Sankrail, Howrah Rural, Sankrail, West Bengal 711313",7439872575,9062184542
Domjur PS,22.63455514,88.22088842,711405,26706666,"Domjur Bazar, Howrah - Bargachia - Amta Rd, Domjur, West Bengal 711405",7439872575,9062184542
